"1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12"
"Adipose...Subcutaneous" 0.000612399951748614 0.0622481729303925 0.91960099197973 0.000159950236242861 0.000108329243614696 0.00017875454877933 0.000121076705006592 0.000248812275982916 8.18459108493162e-05 0.0163301971591596 0.000295211640816246 1.42574176768726e-05
"Adipose...Visceral..Omentum." 0.00064617474254874 0.0306309416672292 0.936240891147218 0.00182468500798896 0.0148243985748755 0.000223379568692003 1.27429758502342e-06 0.000174631335403253 0.00395123451763229 0.0111585836578535 0.000293658903201719 3.01465797717574e-05
"Adrenal.Gland" 0.00894022638735923 0.00329207578503659 0.00286327000321412 0.971706428403609 0.009784011817213 0.000230317177006163 0.00010644224926944 0.00023481952297416 0.000561378291424983 0.00219048860532373 4.1507919531683e-05 4.90338380381579e-05
"Artery...Aorta" 0.000510212011508462 0.804709353847105 0.0402595738375204 0.000525914418966833 0.000518989333511905 4.8679248992309e-05 3.1349489445043e-05 6.51120683792206e-05 0.000931427371063001 0.152322186353945 7.70631994692465e-05 1.38820094219126e-07
"Artery...Coronary" 0.000710799897097271 0.631686431637489 0.236130265456539 0.000150881043432568 0.00539461750814545 1.28212270890627e-07 4.30483508957925e-07 0.0045883298938345 0.00105902718171941 0.120274451594578 4.54274773054373e-08 4.59166390713136e-06
"Artery...Tibial" 0.000119896923170494 0.932714124152023 0.00187710766776347 6.90831063807582e-07 1.71496311341012e-07 3.07257250417234e-05 2.90209789197793e-07 0.000410993568306345 6.70144748949007e-05 0.0646144164181394 7.36984093404156e-05 9.0870124155576e-05
"Brain...Anterior.cingulate.cortex..BA24." 0.983503289177275 0.00146433279384928 0.000705245075841152 0.000698845851474047 0.000136448313657912 0.000115166043477029 0.0128682714474077 0.000196627275291586 9.39244034305235e-06 0.000256716031838713 3.42759607948502e-05 1.1389588749987e-05
"Brain...Caudate..basal.ganglia." 0.950125003197405 0.00140035797645525 0.0239202611323537 0.0199765885865711 0.00118783184757939 0.000140359067461796 0.00169910643587823 0.000273779717317908 0.000197445730854976 0.00104034957899812 1.75677728875531e-05 2.13489562367268e-05
"Brain...Cerebellar.Hemisphere" 0.28841649325656 5.77603703886242e-08 4.7355279151878e-08 8.12517369231846e-08 1.01083994785273e-07 7.76029576171378e-08 0.711530636477708 8.78591839586694e-08 3.40089054358225e-08 3.94093612308148e-08 3.14823621861937e-05 2.08615717563469e-05
"Brain...Cerebellum" 0.305849948103237 0.000733418644463081 8.13974895896774e-05 9.30108223445119e-05 2.91577835399073e-07 0.000101212148732166 0.692884229355532 4.94567731587526e-05 2.70879340336517e-05 8.81642936206082e-07 8.33721748294808e-05 9.5693333308159e-05
"Brain...Cortex" 0.914542645295255 0.00210565969158049 0.0012729699424934 0.000464021948418717 0.000103888297479131 0.000251099729242165 0.0808255553518269 0.000231889555040452 1.70002269131764e-05 5.21678857931753e-07 5.78517462355385e-05 0.000126896536657483
"Brain...Frontal.Cortex..BA9." 0.967934309520956 0.000437587631293622 0.000319022182413081 0.000184091068637746 9.8983775738054e-05 8.99348128449812e-05 0.0305033084110627 0.000172540658310443 5.21204213154844e-06 0.000213725646382516 2.74963247224132e-05 1.37879255066871e-05
"Brain...Hippocampus" 0.986756304650424 0.000941243660606767 0.0105338585205382 0.000443400864678666 0.000533858075850275 0.000173075282854515 1.81549912711296e-05 0.000120160711493533 0.000101535104531181 0.00031316026374751 4.62643680031358e-05 1.89835060011907e-05
"Brain...Hypothalamus" 0.955101057271 0.00122256002906837 0.0156934596214758 0.0208511360747017 0.00178127332306582 0.000155833591349046 0.00419928414724746 0.000222124069914046 0.000197558291098456 6.33806461829076e-05 2.03852475405216e-05 0.000491947687355418
"Brain...Nucleus.accumbens..basal.ganglia." 0.961038272029256 0.000726462727387901 0.00275832565030932 0.026486537213651 0.000959646873837809 0.000172330609508624 0.00713193472064011 0.00021178765739972 3.06080702659971e-05 0.000415128527057263 2.55364084886318e-05 4.34295121981599e-05
"Brain...Putamen..basal.ganglia." 0.969050233399171 0.00204380675266559 0.0220934572647858 0.00438165088533887 0.000686776410948038 0.000164055304922075 2.35720439465066e-05 0.000210798450364534 0.000365328359085294 0.000939192654273158 2.16999135053555e-05 1.9428560994256e-05
"Breast...Mammary.Tissue" 0.000748128269987585 0.0409560735018389 0.821941827997285 0.0674438165035426 0.0493560444192307 0.00840697334198948 0.00439701989160469 0.000764013624604027 0.000247470492725717 0.00560831889361716 0.000117998493715945 1.23145698578052e-05
"Cells...EBV.transformed.lymphocytes" 0.000145393254679512 1.86114572429195e-06 9.96083206711929e-05 4.03490159947593e-06 0.998954584511953 5.49374279744918e-05 1.17923767391477e-06 0.000173777634052403 1.38841333133641e-05 0.000512840792052226 3.23935765960539e-05 5.50506371018985e-06
"Cells...Transformed.fibroblasts" 0.00020586452135683 0.000480185581414262 0.000534046147723207 0.00124737454351837 0.000227469300555045 0.000251379902169751 0.000678641051984402 7.3471298368031e-05 6.9013432936774e-05 0.99617110841328 4.90113820145191e-05 1.24344246782849e-05
"Colon...Sigmoid" 0.00133604341808627 0.923722431470693 1.92760810087255e-05 0.032840595880042 0.0165613875627909 0.000137885159530799 0.0230265140270422 0.000252082859596295 3.17590977452883e-08 0.00206834942905853 1.74636215003842e-05 1.79387315533664e-05
