"Adipose - Subcutaneous" "Adipose - Visceral (Omentum)" "Adrenal Gland" "Artery - Aorta" "Artery - Coronary" "Artery - Tibial" "Bladder" "Brain - Amygdala" "Brain - Anterior cingulate cortex (BA24)" "Brain - Caudate (basal ganglia)" "Brain - Cerebellar Hemisphere" "Brain - Cerebellum" "Brain - Cortex" "Brain - Frontal Cortex (BA9)" "Brain - Hippocampus" "Brain - Hypothalamus" "Brain - Nucleus accumbens (basal ganglia)" "Brain - Putamen (basal ganglia)" "Brain - Spinal cord (cervical c-1)" "Brain - Substantia nigra" "Breast - Mammary Tissue" "Cells - EBV-transformed lymphocytes" "Cells - Transformed fibroblasts" "Cervix - Ectocervix" "Cervix - Endocervix" "Colon - Sigmoid" "Colon - Transverse" "Esophagus - Gastroesophageal Junction" "Esophagus - Mucosa" "Esophagus - Muscularis" "Fallopian Tube" "Heart - Atrial Appendage" "Heart - Left Ventricle" "Kidney - Cortex" "Liver" "Lung" "Minor Salivary Gland" "Muscle - Skeletal" "Nerve - Tibial" "Ovary" "Pancreas" "Pituitary" "Prostate" "Skin - Not Sun Exposed (Suprapubic)" "Skin - Sun Exposed (Lower leg)" "Small Intestine - Terminal Ileum" "Spleen" "Stomach" "Testis" "Thyroid" "Uterus" "Vagina" "Whole Blood"
"Adipose - Subcutaneous" 0 0.2956 0.007 0.1506 0.0252 0.2292 0 0.0126 0.0314 0.0116 0.0104 0 0.0398 0.012 0.0166 0.0106 0.0076 0.016 0.0088 0.0044 0.307 0.0022 0.0032 0 0 0.1302 0.009 0.1344 0.0238 0.0774 0 0.2008 0.0796 0.0972 0.034 0.0592 0.3204 0.2496 0.5304 0.047 0.01 0.0256 0.009 0.113 0.2504 0.0078 0.0136 0.01 0.0094 0.1622 0.032 0.0116 0.043
"Adipose - Visceral (Omentum)" 0.2956 0 0.0086 0.1188 0.1798 0.1396 0 0.178 0.0076 0.168 0.0134 0 0.0154 0.014 0.0114 0.007 0.014 0.0994 0.0112 0.0744 0.2788 0.0014 0.0038 0 0 0.2532 0.0488 0.1946 0.116 0.1606 0 0.3898 0.3672 0.1502 0.1506 0.2276 0.0596 0.1454 0.2122 0.0956 0.0752 0.0612 0.0168 0.142 0.0858 0.0084 0.0524 0.0256 0.0084 0.31 0.5228 0.0206 0.0844
"Adrenal Gland" 0.007 0.0086 0 0.631 0.0126 0.0086 0 0 0 0 0 0.0064 0.2994 0 0 0 0 0 0 0 0.144 0.0024 0.021 0 0 0.0498 0.2072 0.1942 0.2538 0.3862 0 0.1642 0.1266 0.333 0.4396 0.0966 0.237 0.0054 0.005 0.0678 0.1644 0 0.3876 0.0056 0.0034 0.0032 0.132 0.1134 0.422 0.0648 0.219 0.1168 0.0142
"Artery - Aorta" 0.1506 0.1188 0.631 0 0.8488 0.1584 0 0.0072 0.011 0.0156 0.0066 0.0142 0.0216 0.0082 0.053 0.0078 0.0046 0.014 0.0784 0.0054 0.1132 0.0034 0.2076 0 0 0.1368 0.2078 0.5466 0.4388 0.7298 0 0.1814 0.151 0.0238 0.4574 0.18 0.0084 0.0326 0.094 0.4222 0.3552 0.089 0.3282 0.0602 0.022 0.0628 0.0704 0.5156 0.317 0.28 0.2786 0.1748 0.064
"Artery - Coronary" 0.0252 0.1798 0.0126 0.8488 0 0.077 0 0 0.0248 0.0096 0.0034 0.0036 0.004 0.0046 0.003 0.0088 0.0038 0.0424 0.0014 0.0092 0.0848 0.0022 0.0048 0 0 0.0508 0.1456 0.1566 0.291 0.2076 0 0.2814 0.0414 0.113 0.3312 0.3276 0.005 0.0222 0.2108 0.113 0.0206 0.0032 0.0378 0.0638 0.015 0.0056 0.0186 0.0254 0.2628 0.064 0.1812 0.0458 0.0296
"Artery - Tibial" 0.2292 0.1396 0.0086 0.1584 0.077 0 0 0.3784 0.0076 0.0668 0.0174 0.1254 0.0552 0.0126 0.011 0.0102 0.0512 0.0438 0.0186 0.066 0.1464 0.028 0.004 0 0 0.14 0.007 0.1672 0.0116 0.069 0 0.0988 0.0648 4e-04 0.0202 0.1462 0.3276 0.575 0.6548 0.0136 0.0074 0.0252 0.0154 0.2198 0.081 0.0102 0.0068 0.0064 0.0114 0.1624 0.0102 0.0058 0.0246
"Bladder" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0122 0 0 0 0 0 0.043 0.135 0 0 0 0 0 0 0 0.0028 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Brain - Amygdala" 0.0126 0.178 0 0.0072 0 0.3784 0 0 0.8372 0.9344 0.248 0.0452 0.1098 0.2768 0.3608 0.2392 0.578 0.8046 0.2642 0.5018 0.0028 0 0.0022 0 0 0.3374 0 0.0138 0.0028 0.008 0 0.0124 0.0128 0 0.001 0.0034 0 0.0198 0.0074 0.0172 0 0.027 0 0.0042 0.0048 0 0 0 0.0108 0.0656 0 0 0.0044
"Brain - Anterior cingulate cortex (BA24)" 0.0314 0.0076 0 0.011 0.0248 0.0076 0 0.8372 0 0.9634 0.8508 0.0528 0.5206 0.9114 0.7586 0.6858 0.7526 0.536 0.0542 0.4388 0.0038 0 0.0014 0 0 0.0066 0 0.0024 0.014 0.007 0 0.007 0.1784 0 0.002 0.0018 0 0.0276 0.013 0.007 0 0.0116 0.0328 0.0038 0.0048 0 0 0 8e-04 0.124 0 0 0.003
"Brain - Caudate (basal ganglia)" 0.0116 0.168 0 0.0156 0.0096 0.0668 0 0.9344 0.9634 0 0.923 0 0.1162 0.8142 0.8782 0.7524 0.9676 0.9774 0.0904 0.7518 0.0028 0 0.0014 0 0 0.0202 0.027 0.0146 0.008 0.0084 0 0.0286 0.0504 0 0.0016 0.005 0.1912 0.0332 0.0134 0.0116 0 0.0138 0.0056 0.0102 0.0086 0 0 0.002 0.0026 0.2172 0.0174 0.0076 0.0102
