"ensembl_gene_id" "external_gene_name" "entrezgene" "description" "percentage_gc_content" "chromosome_name"
"1" "ENSG00000000938" "FGR" 2268 "FGR proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3697]" 52.97 "1"
"2" "ENSG00000000971" "CFH" 3075 "complement factor H [Source:HGNC Symbol;Acc:HGNC:4883]" 35.2 "1"
"3" "ENSG00000001461" "NIPAL3" 57185 "NIPA-like domain containing 3 [Source:HGNC Symbol;Acc:HGNC:25233]" 45 "1"
"4" "ENSG00000001497" "LAS1L" 81887 "LAS1-like (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:25726]" 50.45 "X"
"5" "ENSG00000001617" "SEMA3F" 6405 "sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3F [Source:HGNC Symbol;Acc:HGNC:10728]" 57.74 "3"
"6" "ENSG00000001629" "ANKIB1" 54467 "ankyrin repeat and IBR domain containing 1 [Source:HGNC Symbol;Acc:HGNC:22215]" 36.77 "7"
"7" "ENSG00000002549" "LAP3" 51056 "leucine aminopeptidase 3 [Source:HGNC Symbol;Acc:HGNC:18449]" 44.17 "4"
"8" "ENSG00000002586" "CD99" 4267 "CD99 molecule [Source:HGNC Symbol;Acc:HGNC:7082]" 47.39 "X"
"9" "ENSG00000002834" "LASP1" 3927 "LIM and SH3 protein 1 [Source:HGNC Symbol;Acc:HGNC:6513]" 53.69 "17"
"10" "ENSG00000003393" "ALS2" 57679 "amyotrophic lateral sclerosis 2 (juvenile) [Source:HGNC Symbol;Acc:HGNC:443]" 38.06 "2"
"11" "ENSG00000003402" "CFLAR" 8837 "CASP8 and FADD-like apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:1876]" 44.35 "2"
"12" "ENSG00000003436" "TFPI" 7035 "tissue factor pathway inhibitor (lipoprotein-associated coagulation inhibitor) [Source:HGNC Symbol;Acc:HGNC:11760]" 36.6 "2"
"13" "ENSG00000003756" "RBM5" 10181 "RNA binding motif protein 5 [Source:HGNC Symbol;Acc:HGNC:9902]" 44.45 "3"
"14" "ENSG00000003989" "SLC7A2" 6542 "solute carrier family 7 (cationic amino acid transporter, y+ system), member 2 [Source:HGNC Symbol;Acc:HGNC:11060]" 40.13 "8"
"15" "ENSG00000004059" "ARF5" 381 "ADP-ribosylation factor 5 [Source:HGNC Symbol;Acc:HGNC:658]" 56.5 "7"
"16" "ENSG00000004399" "PLXND1" 23129 "plexin D1 [Source:HGNC Symbol;Acc:HGNC:9107]" 58.39 "3"
"17" "ENSG00000004455" "AK2" 204 "adenylate kinase 2 [Source:HGNC Symbol;Acc:HGNC:362]" 46.32 "1"
"18" "ENSG00000004478" "FKBP4" 2288 "FK506 binding protein 4, 59kDa [Source:HGNC Symbol;Acc:HGNC:3720]" 51.56 "12"
"19" "ENSG00000004487" "KDM1A" 23028 "lysine (K)-specific demethylase 1A [Source:HGNC Symbol;Acc:HGNC:29079]" 39.16 "1"
"20" "ENSG00000004534" "RBM6" 10180 "RNA binding motif protein 6 [Source:HGNC Symbol;Acc:HGNC:9903]" 44.14 "3"
"21" "ENSG00000004776" "HSPB6" 126393 "heat shock protein, alpha-crystallin-related, B6 [Source:HGNC Symbol;Acc:HGNC:26511]" 62.56 "19"
"22" "ENSG00000004779" "NDUFAB1" 4706 "NADH dehydrogenase (ubiquinone) 1, alpha/beta subcomplex, 1, 8kDa [Source:HGNC Symbol;Acc:HGNC:7694]" 48.8 "16"
"23" "ENSG00000004799" "PDK4" 5166 "pyruvate dehydrogenase kinase, isozyme 4 [Source:HGNC Symbol;Acc:HGNC:8812]" 36.07 "7"
"24" "ENSG00000004897" "CDC27" 996 "cell division cycle 27 [Source:HGNC Symbol;Acc:HGNC:1728]" 38.66 "17"
"25" "ENSG00000005007" "UPF1" 5976 "UPF1 regulator of nonsense transcripts homolog (yeast) [Source:HGNC Symbol;Acc:HGNC:9962]" 55.16 "19"
"26" "ENSG00000005022" "SLC25A5" 292 "solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5 [Source:HGNC Symbol;Acc:HGNC:10991]" 53.25 "X"
"27" "ENSG00000005206" "SPPL2B" 56928 "signal peptide peptidase like 2B [Source:HGNC Symbol;Acc:HGNC:30627]" 61.06 "19"
"28" "ENSG00000005249" "PRKAR2B" 5577 "protein kinase, cAMP-dependent, regulatory, type II, beta [Source:HGNC Symbol;Acc:HGNC:9392]" 38.63 "7"
"29" "ENSG00000005339" "CREBBP" 1387 "CREB binding protein [Source:HGNC Symbol;Acc:HGNC:2348]" 45.01 "16"
"30" "ENSG00000005379" "BZRAP1" 9256 "benzodiazepine receptor (peripheral) associated protein 1 [Source:HGNC Symbol;Acc:HGNC:16831]" 57.84 "17"
"31" "ENSG00000005483" "KMT2E" 55904 "lysine (K)-specific methyltransferase 2E [Source:HGNC Symbol;Acc:HGNC:18541]" 37.46 "7"
"32" "ENSG00000005486" "RHBDD2" 57414 "rhomboid domain containing 2 [Source:HGNC Symbol;Acc:HGNC:23082]" 47.79 "7"
"33" "ENSG00000005700" "IBTK" 25998 "inhibitor of Bruton agammaglobulinemia tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:17853]" 36.07 "6"
"34" "ENSG00000005810" "MYCBP2" 23077 "MYC binding protein 2, E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:23386]" 35.72 "13"
"35" "ENSG00000005812" "FBXL3" 26224 "F-box and leucine-rich repeat protein 3 [Source:HGNC Symbol;Acc:HGNC:13599]" 38.36 "13"
"36" "ENSG00000005884" "ITGA3" 3675 "integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor) [Source:HGNC Symbol;Acc:HGNC:6139]" 52.64 "17"
"37" "ENSG00000005893" "LAMP2" 3920 "lysosomal-associated membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:6501]" 38.79 "X"
"38" "ENSG00000006007" "GDE1" 51573 "glycerophosphodiester phosphodiesterase 1 [Source:HGNC Symbol;Acc:HGNC:29644]" 40.17 "16"
"39" "ENSG00000006125" "AP2B1" 163 "adaptor-related protein complex 2, beta 1 subunit [Source:HGNC Symbol;Acc:HGNC:563]" 39.93 "17"
"40" "ENSG00000006210" "CX3CL1" 6376 "chemokine (C-X3-C motif) ligand 1 [Source:HGNC Symbol;Acc:HGNC:10647]" 53.7 "16"
"41" "ENSG00000006282" "SPATA20" 64847 "spermatogenesis associated 20 [Source:HGNC Symbol;Acc:HGNC:26125]" 57.05 "17"
"42" "ENSG00000006459" "KDM7A" 80853 "lysine (K)-specific demethylase 7A [Source:HGNC Symbol;Acc:HGNC:22224]" 39.18 "7"
"43" "ENSG00000006652" "IFRD1" 3475 "interferon-related developmental regulator 1 [Source:HGNC Symbol;Acc:HGNC:5456]" 39.45 "7"
"44" "ENSG00000006712" "PAF1" 54623 "Paf1, RNA polymerase II associated factor, homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:25459]" 52.73 "19"
"45" "ENSG00000006715" "VPS41" 27072 "vacuolar protein sorting 41 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:12713]" 38.35 "7"
"46" "ENSG00000006744" "ELAC2" 60528 "elaC ribonuclease Z 2 [Source:HGNC Symbol;Acc:HGNC:14198]" 48.08 "17"
"47" "ENSG00000006831" "ADIPOR2" 79602 "adiponectin receptor 2 [Source:HGNC Symbol;Acc:HGNC:24041]" 39.4 "12"
"48" "ENSG00000007047" "MARK4" 57787 "MAP/microtubule affinity-regulating kinase 4 [Source:HGNC Symbol;Acc:HGNC:13538]" 53.57 "19"
"49" "ENSG00000007080" "CCDC124" 115098 "coiled-coil domain containing 124 [Source:HGNC Symbol;Acc:HGNC:25171]" 55.84 "19"
"50" "ENSG00000007168" "PAFAH1B1" 5048 "platelet-activating factor acetylhydrolase 1b, regulatory subunit 1 (45kDa) [Source:HGNC Symbol;Acc:HGNC:8574]" 42.4 "17"
"51" "ENSG00000007202" "KIAA0100" 9703 "KIAA0100 [Source:HGNC Symbol;Acc:HGNC:28960]" 46.75 "17"
"52" "ENSG00000007237" "GAS7" 8522 "growth arrest-specific 7 [Source:HGNC Symbol;Acc:HGNC:4169]" 47.97 "17"
